Year,BankName,SIZE,CAR,LDR,ROE,Fintech,Risk
2012,VCB,6.027044788,0.1463,0.08451,0.1261,0.00032066,0.024
2013,VCB,6.150590043,0.1313,0.08256,0.1033,0.000632744,0.0273
2014,VCB,6.357834729,0.1135,0.07658,0.1076,0.001603385,0.0231
2015,VCB,6.513815459,0.1104,0.07736,0.1203,0.00216675,0.0179
2016,VCB,6.669379926,0.1113,0.07671,0.1478,0.002289071,0.0146
2017,VCB,6.942440031,0.1163,0.07674,0.1809,0.003000923,0.0111
2018,VCB,6.979170005,0.1214,0.07768,0.2549,0.004148162,0.0097
2019,VCB,7.10883223,0.0934,0.07809,0.2599,0.004493453,0.0078
2020,VCB,7.190095679,0.0956,0.0735,0.2111,0.084125667,0.0062
2021,VCB,7.254653396,0.0931,0.0778,0.2166,0.038826999,0.0063
2022,VCB,7.503187735,0.0995,0.0739,0.2444,0.091752369,0.0068
2012,TCB,5.192587883,0.126,0.0612,0.0593,0.000551961,0.027
2013,TCB,5.068254073,0.1403,0.05522,0.0484,0.002668485,0.0365
2014,TCB,5.169925851,0.1565,0.05822,0.0749,0.001925635,0.0238
2015,TCB,5.257462049,0.147,0.0709,0.0973,0.001594986,0.0167
2016,TCB,5.461129581,0.131,0.0718,0.1747,0.000206357,0.016
2018,TCB,5.771406671,0.146,0.0655,0.2156,0.000368258,0.018
2019,TCB,5.949859593,0.155,0.0763,0.1823,0.001559538,0.013
2020,TCB,6.085871894,0.161,0.0781,0.1803,0.000551472,0.005
2021,TCB,6.343403959,0.15,0.076875,0.2153,0.03939136,0.007
2022,TCB,6.549697299,0.152,0.07638,0.1952,0.076676284,0.007
2013,SHB,4.967211327,0.1238,0.07106,0.0856,0.001225314,0.0406
2014,SHB,5.130109024,0.1133,0.06988,0.0759,0.000243178,0.0202
2015,SHB,5.321565717,0.114,0.07066,0.0732,0.000331413,0.0172
2016,SHB,5.455097757,0.13,0.07604,0.0746,0.000310586,0.0187
2017,SHB,5.656027058,0.113,0.08048,0.1102,0.000396922,0.0233
2018,SHB,5.778506472,0.1179,0.07589,0.1078,0.000195227,0.024
2019,SHB,5.900593873,0.1201,0.07835,0.1388,0.000396922,0.0191
2020,SHB,6.022671488,0.1008,0.08193,0.1226,0.006438435,0.0183
2021,SHB,6.227730281,0.1186,0.07686,0.1681,0.006347487,0.0169
2022,SHB,6.311560783,0.1222,0.07783,0.1971,0.012966273,0.0281
2014,ACB,5.190786559,0.141,0.08239,0.0764,0.001174835,0.0217
2017,ACB,5.650086728,0.0804,0.08,0.1408,0.00098262,0.007
2018,ACB,5.797070129,0.1005,0.07747,0.2773,0.013088396,0.007
2019,ACB,5.949377271,0.121,0.07755,0.246,0.007332428,0.005
2021,ACB,6.268660477,0.1123,0.079,0.239,0.028399553,0.0077
2012,BID,6.183704586,0.0965,0.098,0.101,0.001590171,0.029
2013,BID,6.30697957,0.1023,0.1003,0.1377,0.000608402,0.0237
2014,BID,6.477495877,0.0965,0.09677,0.1515,0.000514659,0.0203
2015,BID,6.746023862,0.0965,0.09495,0.1666,0.000546475,0.0168
2016,BID,6.914112775,0.0965,0.0913,0.1412,0.001949262,0.0195
2017,BID,7.091978229,0.109,0.09186,0.146,0.007228839,0.0144
2018,BID,7.180098567,0.103,0.086,0.1423,0.007410089,0.019
2019,BID,7.306502736,0.0901,0.08795,0.1266,0.008052009,0.0175
2020,BID,7.324282781,0.0901,0.08698,0.089,0.006246266,0.0154
2021,BID,7.474032142,0.09,0.08336,0.127,0.009046933,0.0081
2022,BID,7.659458772,0.0888,0.08305,0.1906,0.008217293,0.0096
2012,CTG,6.221643808,0.1033,0.08299,0.1981,0.000491116,0.0135
2013,CTG,6.356747067,0.132,0.09875,0.1321,0.000825593,0.0082
2015,CTG,6.658631504,0.106,0.09872,0.1025,0.000425749,0.0073
2016,CTG,6.854952957,0.104,0.09751,0.1159,0.000749231,0.0093
2017,CTG,6.998565204,0.094,0.09697,0.1198,0.003962847,0.0113
2018,CTG,7.059991042,0.146,0.0881,0.0825,0.000949425,0.016
2019,CTG,7.123440264,0.155,0.088,0.1307,0.002959907,0.012
2020,CTG,7.20149631,0.1801,0.0861,0.1683,0.000717873,0.0095
2021,CTG,7.334059992,0.091,0.0819,0.1574,0.000506341,0.0114
2022,CTG,7.500214214,0.0896,0.0818,0.1662,5.67662E-05,0.0108
2012,STB,5.024659987,0.0953,0.0896,0.071,0.001188573,0.0197
2014,STB,5.245984727,0.0987,0.0785,0.1256,0.001951831,0.0119
2015,STB,5.676865906,0.0951,0.07123,0.0323,0.003674892,0.058
2016,STB,5.805204373,0.0961,0.06818,0.004,0.002049605,0.0681
2017,STB,5.909356149,0.113,0.0685,0.044,0.00325472,0.0467
2018,STB,6.00645315,0.1188,0.07179,0.0748,0.005664482,0.0211
2019,STB,6.11717399,0.1153,0.07078,0.0956,0.003973831,0.019
2020,STB,6.199527006,0.0953,0.0768,0.0963,0.003367377,0.017
2021,STB,6.255974821,0.0993,0.09,0.1079,0.004500473,0.0147
2022,STB,6.383350702,0.095,0.0874,0.1383,0.004331467,0.0098
2013,EIB,5.134830086,0.163,0.09564,0.0432,0.000578464,0.0198
2014,EIB,5.081987028,0.1083,0.08349,0.0039,0.00082758,0.0246
2015,EIB,4.827110414,0.1108,0.08356,0.0029,0.000921216,0.0186
2016,EIB,4.858272522,0.1058,0.08248,0.0232,0.000495786,0.0295
2017,EIB,5.006423463,0.0927,0.08406,0.0594,0.00259801,0.0227
2018,EIB,5.028161234,0.0958,0.08366,0.0453,0.002225053,0.0175
2019,EIB,5.121212089,0.1381,0.08132,0.0565,0.001380857,0.0171
2020,EIB,5.077889979,0.1181,0.0727,0.0657,0.004361741,0.0252
2021,EIB,5.110975204,0.1229,0.07725,0.0558,0.005445832,0.0196
2022,EIB,5.220658758,0.125,0.081146667,0.154,1.6662E-05,0.018
2012,VPB,4.630606668,0.1251,0.076,0.1019,7.56007E-05,0.0272
2013,VPB,4.797973038,0.125,0.05738,0.1417,0.004640475,0.0281
2014,VPB,5.095229952,0.113,0.0649,0.1501,0.009983869,0.0254
2015,VPB,5.267220987,0.122,0.07678,0.2142,0.034228667,0.0269
2016,VPB,5.432721145,0.132,0.0839,0.2575,0.036164,0.0291
2017,VPB,5.62672976,0.146,0.09149,0.2748,0.005588762,0.0339
2018,VPB,5.778553215,0.123,0.09112,0.2283,0.003199147,0.035
2019,VPB,5.932786489,0.111,0.09071,0.2147,0.008700429,0.0342
2020,VPB,6.037934228,0.11,0.0826,0.2192,0.001014817,0.029
2021,VPB,6.30519704,0.1427,0.0757,0.1686,0.003617837,0.0365
2022,VPB,6.447326284,0.149,0.076,0.1915,0.002193323,0.0219
2012,ARG,6.421535339,0.095,0.095705427,0.0731,0.000945317,0.058
2013,ARG,6.546987608,0.095,0.094390036,0.0462,0.001119583,0.052
2014,ARG,6.63803073,0.095,0.085126266,0.0447,0.00144415,0.04
2016,ARG,6.910215485,0.1105,0.086491726,0.0707,0.003232522,0.0189
2017,ARG,7.050039377,0.102,0.087367395,0.0831,0.010654701,0.0108
2018,ARG,7.156526529,0.0954,0.091195688,0.1064,0.007965029,0.0151
2019,ARG,7.280959466,0.092,0.0858,0.1746,0.009522085,0.0146
2020,ARG,7.357637137,0.103,0.0833,0.1455,0.006640884,0.0164
2021,ARG,7.435988135,0.102,0.083,0.1613,0.011658464,0.0171
2022,ARG,7.536278151,0.106,0.08283,0.2195,0.00835167,0.0164
2012,NVB,3.072008543,0.1909,0.07544931,0.0007,0.000189406,0.0564
2013,NVB,3.369856549,0.122,0.06572,0.0058,0.001158183,0.0607
2014,NVB,3.606504648,0.107,0.06809,0.0025,0.000597741,0.0253
2015,NVB,3.875981276,0.134,0.05969,0.002,0.001347626,0.0215
2016,NVB,4.234266043,0.1253,0.05936,0.0034,0.002599947,0.0148
2018,NVB,4.282512468,0.121,0.06263,0.0112,0.003443573,0.0169
2020,NVB,4.495369159,0.0944,0.04844,0.0003,0.007523712,0.0151
2021,NVB,4.301124083,0.0944,0.062547909,0.0003,0.015483983,0.03
2022,NVB,4.498110917,0.1063,0.05851,0,0.006087387,0.1793
2012,MBB,5.168265422,0.1096,0.0633,0.2049,0.000642903,0.034
2013,MBB,5.195071635,0.1096,0.06354,0.1625,0.001395351,0.0245
2014,MBB,5.300760245,0.1007,0.05929,0.1562,3.52008E-05,0.0273
2015,MBB,5.398352697,0.1285,0.06595,0.1256,0.000170463,0.0161
2016,MBB,5.546186701,0.1305,0.07645,0.1147,0.026607326,0.0132
2017,MBB,5.749003827,0.12,0.08143,0.1232,0.001220676,0.012
2018,MBB,5.89254177,0.109,0.08549,0.1917,0.001724195,0.0133
2019,MBB,6.019778828,0.1012,0.08373,0.2113,0.005194364,0.0116
2020,MBB,6.204521726,0.1042,0.07227,0.1836,0.009535278,0.0109
2021,MBB,6.408760097,0.1128,0.0801,0.2256,0.004675506,0.009
2022,MBB,6.591032063,0.1153,0.0761,0.2461,0.002903412,0.0109
2012,MSB,4.699783541,0.1131,0.071,0.0244,0.00230663,0.0265
2013,MSB,4.673901922,0.1056,0.071,0.0357,0.00060745,0.031567637
2014,MSB,4.647930215,0.157,0.061,0.0151,0.009030953,0.04424806
2015,MSB,4.647379467,0.2453,0.0913,0.0101,0.004082484,0.034107119
2016,MSB,4.528352444,0.2359,0.09186,0.0103,0.05496047,0.023644467
2017,MSB,4.72063033,0.1948,0.086,0.0089,0.000456654,0.022268153
2018,MSB,4.925576105,0.1217,0.07676,0.0631,0.006486169,0.0221
2019,MSB,5.056105324,0.0975,0.07864,0.0728,0.009826233,0.0171
2020,MSB,5.174439938,0.106,0.07965,0.1267,0.002429184,0.0162
2021,MSB,5.316478564,0.1152,0.06503,0.2074,0.001044323,0.0115
2022,MSB,5.360239302,0.123,0.0688,0.1896,0.00351159,0.0121
2013,TPB,3.468483344,0.1981,0.06272,0.1087,0.001625625,0.0197
2014,TPB,3.941145907,0.1504,0.09175,0.135,0.010160468,0.01
2015,TPB,4.333634837,0.1213,0.07148,0.1244,0.002057692,0.0066
2016,TPB,4.661380458,0.1213,0.08468,0.1079,0.001514286,0.007
2017,TPB,4.821238744,0.11,0.08209,0.1559,0.003902474,0.0108
2018,TPB,4.913973156,0.1024,0.08249,0.2087,0.002124472,0.011
2019,TPB,5.102536847,0.107,0.07885,0.2611,0.001474717,0.0128
2020,TPB,5.329402159,0.1295,0.076085,0.2354,0.000388436,0.0115
2021,TPB,5.679582257,0.125,0.06091,0.226,0.001167463,0.0081
2022,TPB,5.794944691,0.1244,0.08795,0.215,0.000812004,0.0084
