keyword,segment
Nền tảng công nghệ,Nền tảng
Nền tảng số,Nền tảng
Hạ tầng công nghệ,Nền tảng
Công nghệ thông tin,Công nghệ
CNTT,Công nghệ
Kỹ thuật công nghệ,Công nghệ
Công nghệ ngân hàng,Công nghệ
Công nghệ 4.0,Công nghệ
Công nghệ tài chính,Công nghệ
Ứng dụng công nghệ,Công nghệ
Chuyển đổi số,Công nghệ
phát triển công nghệ,Công nghệ
Công nghệ Fintech,Công nghệ
hệ thống công nghệ,Công nghệ
digital transformation,Công nghệ
trí tuệ nhân tạo,Artificial intelligence
trợ lý ảo,Artificial intelligence
Artificial intelligence,Artificial intelligence
eKYC,Face recognition
xác thực khuôn mặt,Face recognition
Face recognition,Face recognition
nhận diện giọng nói,Voice recognition
Voice recognition,Voice recognition
xác thực vân tay,Fingerprint recognition
Fingerprint recognition,Fingerprint recognition
công nghệ chuỗi khối,Blockchain
blockchain,Blockchain
điện toán đám mây,Cloud computing
Hệ thống PKI,Cloud computing
Cloud computing,Cloud computing
Cloud service,Cloud service
Salesforce Financial Services Cloud,Cloud service
dịch vụ đám mây,Cloud service
đám mây,Cloud service
Cloud platform,Cloud platform
nền tảng trải nghiệm đám mây,Cloud platform
Adobe Experience Cloud,Cloud platform
Dữ liệu (Data),Big Data
Dữ liệu lớn,Big Data
Big Data,Big Data
Khoa học dữ liệu,Data mining
Máy học,Data mining
Data mining,Data mining
Mô hình dữ liệu,Data visualization
Dữ liệu và phân tích,Data visualization
phân tích dữ liệu,Data visualization
Data visualization,Data visualization
Thanh toán trực tuyến,Online Payment
Chuyển tiền trên kênh số,Online Payment
Thanh toán không tiếp xúc,Online Payment
Thanh toán điện tử,Online Payment
Thanh toán ECOM,Online Payment
Giao dịch công nghệ số,Online Payment
Giao dịch trực tuyến,Online Payment
Dịch vụ trực tuyến,Online Payment
Online Payment,Online Payment
Chuyển tiền qua số điện thoại,Mobile Payment
Mobile Payment,Mobile Payment
SMS,Mobile Payment
QR Code,QR code payment
mã QR,QR code payment
VietQR,QR code payment
Không dùng tiền mặt,Digital wallet
Ví điện tử,Digital wallet
Tài khoản trực tuyến,Digital wallet
Digital wallet,Digital wallet
Tiền gửi có kỳ hạn trực tuyến,Online loan
vay mua nhà trực tuyến,Online loan
Online loan,Online loan
Ngoại hối online,Online finance
Online finance,Online finance
smart contract,Lending platform
Hợp đồng thông minh,Lending platform
e-form,Lending platform
Lending platform,Lending platform
Inclusive credit,Inclusive credit
Customer portrait,Customer portrait
Mô hình hành vi,Customer portrait
mô hình VaR,Predictive model
Mô hình đo lường rủi ro,Predictive model
Mô hình cảnh báo nợ,Predictive model
Predictive model,Predictive model
Mô hình xếp hạng tín dụng,Credit evaluation
Credit evaluation,Credit evaluation
Anti-fraud,Anti-fraud
chống gian lận,Anti-fraud
Ngân hàng trực tuyến,Online banking
Online banking,Online banking
ngân hàng di động,Mobile banking
Ngân hàng trên điện thoại di động,Mobile banking
SHB Mobile,Mobile banking
Mobile banking,Mobile banking
E-Mobile,Mobile banking
One Time Password,Mobile banking
OTP,Mobile banking
Ebanking,Internet banking
Internet banking,Internet banking
SHB Mobile Banking,Bank app
ứng dụng di động,Bank app
ứng dụng ngân hàng số,Bank app
ứng dụng trên điện thoại,Bank app
ứng dụng ngân hàng số,Bank app
ACB ONE,Bank app
VPBank NEO,Bank app
MyVIB,Bank app
HDBank,Bank app
BIDV Smart Banking,Bank app
MB Bank,Bank app
Vietinbank iPay,Bank app
TPBank Mobile,Bank app
Agribank E-Mobile Banking,Bank app
MSB mBank,Bank app
Eximbank EDigi,Bank app
Sacombank Pay,Bank app
SCB Mobile Banking,Bank app
SHB Mobile Banking,Bank app
BAOVIET Smart,Bank app
BAC A BANK Mobile Banking,Bank app
NCB iziMobile,Bank app
Liên Việt 24h,Bank app
