,bank,year,segments_count
0,VCB,2018,52829
0,ABBank-AnBinh,2018,27250
0,MSB Bank,2018,35258
0,NCB,2018,12051
0,SHB,2018,55927
0,CTG,2018,56667
0,Eximbank,2018,51063
0,TPB,2018,44256
0,LPB-LienvietPost,2022,52575
0,BaoVietBank,2018,21038
0,STB,2018,72331
0,MB bank,2018,44908
0,SeABank,2018,38384
0,TCB,2018,55163
0,BAB-BacABank,2018,22806
0,VBB-VietBank,2018,40113
0,HD Bank,2018,169227
0,SCB,2018,51382
0,VPB,2018,48110
0,BIDV,2018,44781
0,VIB ,2018,124604
0,ACB,2018,19061
0,OCB,2018,19271
0,Agribank,2018,19743
